,count,mean,std,min,25%,50%,75%,max,year
interest_rate,50000.0,4.6372327000000135,0.4870780142138725,2.625,4.25,4.625,5.0,6.75,2010
post_code,50000.0,52426.394,30091.45104286923,600.0,27600.0,53000.0,80100.0,99900.0,2010
term,50000.0,297.8844,84.94936400308994,60.0,180.0,360.0,360.0,360.0,2010
borrowers,50000.0,1.6147,0.4866709843138109,1.0,1.0,2.0,2.0,2.0,2010
score,50000.0,764.00036,57.45281278044017,585.0,741.0,775.0,795.0,9999.0,2011
pay1_date,50000.0,201123.52758,35.4549756797189,201101.0,201106.0,201109.0,201112.0,201307.0,2011
maturity_date,50000.0,203531.231,736.2845931425016,201804.0,202611.0,204103.0,204108.0,204303.0,2011
MSA,43056.0,30514.702759197324,11263.320585638749,10180.0,19124.0,33124.0,40220.0,49740.0,2011
MI%,50000.0,2.44276,7.6458650764590415,0.0,0.0,0.0,0.0,35.0,2011
unit,50000.0,1.02726,0.2212642572976846,1.0,1.0,1.0,1.0,4.0,2011
CLTV,50000.0,68.47794,17.022826700901337,6.0,58.0,74.0,80.0,95.0,2011
DTI_rat,50000.0,31.89366,15.272443706071545,1.0,24.0,32.0,40.0,999.0,2011
UPB,50000.0,217079.46,125904.07929389602,8000.0,121000.0,188000.0,289000.0,998000.0,2011
LTV,50000.0,67.42052,17.157476810700643,6.0,57.0,73.0,80.0,95.0,2011
interest_rate,50000.0,4.347663799999996,0.5665596689553011,2.75,3.875,4.375,4.75,6.75,2011
post_code,50000.0,53239.53,30403.734673884723,600.0,27700.0,53500.0,81600.0,99900.0,2011
term,50000.0,289.88518,88.40660626293275,76.0,180.0,360.0,360.0,360.0,2011
borrowers,50000.0,1.61274,0.4871287697198675,1.0,1.0,2.0,2.0,2.0,2011
score,50000.0,766.53936,38.206416285687766,605.0,745.0,777.0,796.0,832.0,2012
pay1_date,50000.0,201222.98082,34.91000868378353,201202.0,201206.0,201209.0,201212.0,201411.0,2012
maturity_date,50000.0,203630.97414,734.4469889916329,201706.0,202710.0,204204.0,204209.0,204312.0,2012
MSA,43407.0,30359.996866864793,11413.971079986228,10180.0,19124.0,31700.0,40340.0,49740.0,2012
MI%,50000.0,3.06686,8.49263870882791,0.0,0.0,0.0,0.0,36.0,2012
unit,50000.0,1.02126,0.1925844079229789,1.0,1.0,1.0,1.0,4.0,2012
CLTV,50000.0,69.0129,17.99051324341266,6.0,59.0,74.0,80.0,999.0,2012
DTI_rat,50000.0,30.95048,14.614635798445507,1.0,23.0,31.0,39.0,999.0,2012
UPB,50000.0,222671.62,122398.49318677506,12000.0,128000.0,196000.0,296000.0,1000000.0,2012
LTV,50000.0,67.9805,18.139104175565937,6.0,57.0,73.0,80.0,999.0,2012
interest_rate,50000.0,3.6090807199999935,0.4440438553827526,2.25,3.3,3.625,3.875,5.75,2012
post_code,50000.0,52618.062,30422.00257591446,600.0,27500.0,53000.0,80900.0,99900.0,2012
term,50000.0,289.88996,87.99935823028835,60.0,180.0,360.0,360.0,360.0,2012
borrowers,50000.0,1.62418,0.4843387443518947,1.0,1.0,2.0,2.0,2.0,2012
score,50000.0,758.53512,82.66301827345389,606.0,731.0,767.0,791.0,9999.0,2013
pay1_date,50000.0,201323.53188,35.564645373541204,201302.0,201306.0,201309.0,201312.0,201505.0,2013
